 frequency      vm(vd)        
 1.0000000e+06  3.9482570e-01 
 1.1220185e+06  3.9482570e-01 
 1.2589254e+06  3.9482570e-01 
 1.4125375e+06  3.9482570e-01 
 1.5848932e+06  3.9482570e-01 
 1.7782794e+06  3.9482570e-01 
 1.9952623e+06  3.9482570e-01 
 2.2387211e+06  3.9482570e-01 
 2.5118864e+06  3.9482570e-01 
 2.8183829e+06  3.9482570e-01 
 3.1622777e+06  3.9482570e-01 
 3.5481339e+06  3.9482570e-01 
 3.9810717e+06  3.9482570e-01 
 4.4668359e+06  3.9482570e-01 
 5.0118723e+06  3.9482570e-01 
 5.6234133e+06  3.9482570e-01 
 6.3095734e+06  3.9482570e-01 
 7.0794578e+06  3.9482570e-01 
 7.9432823e+06  3.9482570e-01 
 8.9125094e+06  3.9482570e-01 
 1.0000000e+07  3.9482570e-01 
 1.1220185e+07  3.9482570e-01 
 1.2589254e+07  3.9482570e-01 
 1.4125375e+07  3.9482570e-01 
 1.5848932e+07  3.9482570e-01 
 1.7782794e+07  3.9482570e-01 
 1.9952623e+07  3.9482570e-01 
 2.2387211e+07  3.9482570e-01 
 2.5118864e+07  3.9482570e-01 
 2.8183829e+07  3.9482570e-01 
 3.1622777e+07  3.9482570e-01 
 3.5481339e+07  3.9482570e-01 
 3.9810717e+07  3.9482570e-01 
 4.4668359e+07  3.9482570e-01 
 5.0118723e+07  3.9482570e-01 
 5.6234133e+07  3.9482570e-01 
 6.3095734e+07  3.9482570e-01 
 7.0794578e+07  3.9482571e-01 
 7.9432823e+07  3.9482571e-01 
 8.9125094e+07  3.9482571e-01 
 1.0000000e+08  3.9482571e-01 
 1.1220185e+08  3.9482572e-01 
 1.2589254e+08  3.9482572e-01 
 1.4125375e+08  3.9482573e-01 
 1.5848932e+08  3.9482573e-01 
 1.7782794e+08  3.9482574e-01 
 1.9952623e+08  3.9482575e-01 
 2.2387211e+08  3.9482577e-01 
 2.5118864e+08  3.9482578e-01 
 2.8183829e+08  3.9482580e-01 
 3.1622777e+08  3.9482583e-01 
 3.5481339e+08  3.9482586e-01 
 3.9810717e+08  3.9482591e-01 
 4.4668359e+08  3.9482596e-01 
 5.0118723e+08  3.9482603e-01 
 5.6234133e+08  3.9482611e-01 
 6.3095734e+08  3.9482622e-01 
 7.0794578e+08  3.9482635e-01 
 7.9432823e+08  3.9482652e-01 
 8.9125094e+08  3.9482673e-01 
 1.0000000e+09  3.9482700e-01 
 1.1220185e+09  3.9482734e-01 
 1.2589254e+09  3.9482776e-01 
 1.4125375e+09  3.9482830e-01 
 1.5848932e+09  3.9482897e-01 
 1.7782794e+09  3.9482982e-01 
 1.9952623e+09  3.9483088e-01 
 2.2387211e+09  3.9483222e-01 
 2.5118864e+09  3.9483391e-01 
 2.8183829e+09  3.9483604e-01 
 3.1622777e+09  3.9483871e-01 
 3.5481339e+09  3.9484208e-01 
 3.9810717e+09  3.9484633e-01 
 4.4668359e+09  3.9485167e-01 
 5.0118723e+09  3.9485839e-01 
 5.6234133e+09  3.9486685e-01 
 6.3095734e+09  3.9487750e-01 
 7.0794578e+09  3.9489091e-01 
 7.9432823e+09  3.9490779e-01 
 8.9125094e+09  3.9492904e-01 
 1.0000000e+10  3.9495579e-01 
 1.1220185e+10  3.9498945e-01 
 1.2589254e+10  3.9503181e-01 
 1.4125375e+10  3.9508512e-01 
 1.5848932e+10  3.9515221e-01 
 1.7782794e+10  3.9523661e-01 
 1.9952623e+10  3.9534279e-01 
 2.2387211e+10  3.9547634e-01 
 2.5118864e+10  3.9564426e-01 
 2.8183829e+10  3.9585534e-01 
 3.1622777e+10  3.9612057e-01 
 3.5481339e+10  3.9645369e-01 
 3.9810717e+10  3.9687181e-01 
 4.4668359e+10  3.9739622e-01 
 5.0118723e+10  3.9805331e-01 
 5.6234133e+10  3.9887566e-01 
 6.3095734e+10  3.9990330e-01 
 7.0794578e+10  4.0118508e-01 
 7.9432823e+10  4.0278014e-01 
 8.9125094e+10  4.0475934e-01 
 1.0000000e+11  4.0720647e-01 
